description,grams
"Fish, NS as to type, from fast food",0.6599997289800541
"Barracuda, coated, baked or broiled, fat added",0.8179328858458845
"Barracuda, coated, baked or broiled, no added fat",0.4289377897105595
"Barracuda, coated, fried",0.27319480547056685
"Carp, baked or broiled, fat added",0.23979539338032652
"Carp, coated, baked or broiled, fat added",0.5644765363456372
"Carp, coated, baked or broiled, no added fat",1.0286857095637814
"Carp, smoked",0.12925724525310045
"Catfish, baked or broiled, made with oil",0.33792104910013165
"Catfish, baked or broiled, made with butter",0.19077875597321992
"Catfish, baked or broiled, made with cooking spray",0.20313753712901672
"Catfish, coated, baked or broiled, made with oil",0.22529430623752233
"Catfish, coated, baked or broiled, made with butter",0.11356402847635394
"Catfish, coated, baked or broiled, made with margarine",0.14234798975785168
"Catfish, coated, baked or broiled, no added fat",0.23125318139705087
"Catfish, coated, baked or broiled, made with cooking spray",0.47467139555692484
"Catfish, coated, fried, made with margarine",0.31631781348693266
"Catfish, coated, fried, no added fat",1.905308568780839
"Catfish, coated, fried, made with cooking spray",0.10432501024144614
"Cod, baked or broiled, made with margarine",1.3015079789713724
"Cod, baked or broiled, made with cooking spray",1.2880198248808483
"Cod, coated, baked or broiled, made with oil",0.12493479666790819
"Cod, coated, baked or broiled, made with margarine",0.6151285276446927
"Cod, coated, baked or broiled, no added fat",0.4423574942181929
"Cod, coated, baked or broiled, made with cooking spray",0.7506383092374946
"Cod, coated, fried, made with oil",0.5112317863918747
"Cod, coated, fried, made with margarine",0.14684797201098831
"Cod, coated, fried, no added fat",0.39239352806959005
"Cod, coated, fried, made with cooking spray",0.3260004269463934
"Cod, dried, salted, salt removed in water",4.383755330133177
"Cod, smoked",0.1932991486537361
"Croaker, coated, baked or broiled, fat added",0.14487516925481003
"Croaker, coated, baked or broiled, no added fat",0.43566190527322135
"Croaker, coated, fried",0.1053725890413304
"Eel, smoked",0.15561650204212185
"Flounder, raw",0.3854189161835109
"Flounder, baked or broiled, made with oil",0.11369447955811296
"Flounder, baked or broiled, made with margarine",0.6357373495816887
"Flounder, baked or broiled, made with cooking spray",0.7026903115074035
"Flounder, coated, baked or broiled, made with oil",0.28981212083998287
"Flounder, coated, baked or broiled, no added fat",1.2785650825792416
"Flounder, coated, baked or broiled, made with cooking spray",0.41287160393697064
"Flounder, coated, fried, no added fat",0.4512667245265334
"Flounder, coated, fried, made with cooking spray",1.4882352314490532
"Flounder, smoked",0.519692485602441
"Haddock, baked or broiled, no added fat",0.8482420223103304
"Haddock, coated, baked or broiled, fat added",0.23004855017081383
"Haddock, coated, baked or broiled, no added fat",0.2554933379144586
"Haddock, steamed or poached",0.7530795151795999
"Haddock, smoked",0.8056350873390627
"Halibut, raw",1.7478436526598529
"Halibut, baked or broiled, no added fat",0.33430657231718897
"Halibut, coated, baked or broiled, made with oil",0.39968496795470543
"Halibut, coated, baked or broiled, made with margarine",0.44479594282176294
"Halibut, coated, baked or broiled, no added fat",0.2919804311895646
"Halibut, coated, fried, made with oil",0.20011725076685138
"Halibut, coated, fried, made with margarine",0.20766177200624014
"Halibut, coated, fried, no added fat",0.20112759754677967
"Halibut, coated, fried, made with cooking spray",0.8330293222631013
"Herring, raw",0.5379834307106535
"Herring, coated, baked or broiled, no added fat",0.7922782968902808
"Herring, coated, fried",0.4897935440908441
"Mackerel, baked or broiled, no added fat",0.2622632148028714
"Mullet, raw",0.3149134185854052
"Mullet, baked or broiled, fat added",0.2687104867375112
"Mullet, baked or broiled, no added fat",0.11654115227841544
"Mullet, coated, baked or broiled, no added fat",0.6421633851582342
"Mullet, steamed or poached",0.16879361017494432
"Ocean perch, raw",0.7896260143635203
"Ocean perch, baked or broiled, no added fat",0.6535722676316524
